UNITID,ARANK,XSTAFF01,STAFF01,XSTAFF02,STAFF02,XSTAFF03,STAFF03,XSTAFF04,STAFF04,XSTAFF05,STAFF05,XSTAFF06,STAFF06,XSTAFF07,STAFF07,XSTAFF08,STAFF08,XSTAFF09,STAFF09,XSTAFF10,STAFF10,XSTAFF11,STAFF11,XSTAFF12,STAFF12,XSTAFF13,STAFF13,XSTAFF14,STAFF14,XSTAFF15,STAFF15,XSTAFF16,STAFF16,XSTAFF17,STAFF17,XSTAFF18,STAFF18,XSTAFF19,STAFF19,XSTAFF20,STAFF20,XSTAFF21,STAFF21,XSTAFF22,STAFF22,XSTAFF23,STAFF23,XSTAFF24,STAFF24 
159948,10,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"R",5,"Z",0,"Z",0,"R",6,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",11,"Z",0,"R",11
159948,11,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2
159948,14,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",12,"R",5,"Z",0,"Z",0,"R",12,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",17,"Z",0,"R",17
159948,22,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",43,"R",8,"Z",0,"Z",0,"R",43,"R",8,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",51,"Z",0,"R",51
159966, 1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"C",30,"R",8,"Z",0,"Z",0,"C",31,"R",8,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"C",38,"Z",0,"C",39
159966, 2,"Z",0,"Z",0,"R",1,"R",4,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"R",1,"C",31,"R",22,"Z",0,"Z",0,"C",34,"R",27,"Z",0,"R",5,"Z",0,"R",2,"R",1,"C",53,"Z",0,"C",61
159966, 3,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"R",8,"Z",0,"Z",0,"R",8,"R",9,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",15,"Z",0,"R",17
159966, 7,"Z",0,"Z",0,"R",2,"R",5,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"R",1,"C",68,"R",38,"Z",0,"Z",0,"C",73,"R",44,"Z",0,"R",7,"Z",0,"R",3,"R",1,"C",106,"Z",0,"C",117
159966, 8,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"C",1,"C",0,"C",0,"C",0,"C",1,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"C",1,"C",0,"C",1
159966, 9,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",4
